file_name,samp_per_pix,n_rows_image,n_cols_image
873499971.dcm,1,2776,2082
1053754853.dcm,1,5355,4915
1064702099.dcm,1,5355,4915
688385543.dcm,1,5355,4915
868301138.dcm,1,5355,4915
1087195608.dcm,1,4096,3328
168739237.dcm,1,4096,3328
579841204.dcm,1,4096,3328
653493113.dcm,1,4096,3328
1385708909.dcm,1,3328,2560
1562056186.dcm,1,3328,2560
1692821032.dcm,1,3328,2560
2030427504.dcm,1,3328,2560
2099794251.dcm,1,3328,2560
568324157.dcm,1,3328,2560
109667135.dcm,1,4096,3328
1393196107.dcm,1,4096,3328
1481469520.dcm,1,4096,3328
441197449.dcm,1,4096,3328
593476281.dcm,1,4096,3328
670741863.dcm,1,4096,3328
1197226360.dcm,1,2776,2082
1273945534.dcm,1,2776,2082
246097133.dcm,1,2776,2082
330164653.dcm,1,2776,2082
134267365.dcm,1,3328,2560
1422756511.dcm,1,3328,2560
161478494.dcm,1,3328,2560
1620368761.dcm,1,3328,2560
534538517.dcm,1,3328,2560
570041037.dcm,1,3328,2560
600223902.dcm,1,3328,2560
846834855.dcm,1,3328,2560
1248063999.dcm,1,3328,2560
1922025927.dcm,1,3328,2560
638273415.dcm,1,3328,2560
74874399.dcm,1,3328,2560
1345293036.dcm,1,3062,2394
1856209291.dcm,1,3062,2394
2114415931.dcm,1,3062,2394
328866680.dcm,1,3062,2394
1241697021.dcm,1,4096,3328
1564477624.dcm,1,4096,3328
1811094004.dcm,1,4096,3328
1955750733.dcm,1,4096,3328
1331256002.dcm,1,2776,2082
657488461.dcm,1,2776,2082
968602692.dcm,1,2776,2082
997207804.dcm,1,2776,2082
1260916210.dcm,1,2776,2082
2089528200.dcm,1,2776,2082
232125477.dcm,1,2776,2082
606379838.dcm,1,2776,2082
1530859311.dcm,1,4096,3328
1800447452.dcm,1,4096,3328
1816646966.dcm,1,4096,3328
385596666.dcm,1,4096,3328
1943220805.dcm,1,4096,3328
309353373.dcm,1,4096,3328
348710745.dcm,1,4096,3328
461614796.dcm,1,4096,3328
530620473.dcm,1,4096,3328
806376890.dcm,1,4096,3328
1119917037.dcm,1,5355,4915
1570900031.dcm,1,5355,4915
678220517.dcm,1,5355,4915
81785330.dcm,1,5355,4915
173054723.dcm,1,4096,3328
287294454.dcm,1,4096,3328
376486299.dcm,1,4096,3328
738945317.dcm,1,4096,3328
76952917.dcm,1,4096,3328
853328202.dcm,1,4096,3328
182563372.dcm,1,2776,2082
367024983.dcm,1,2776,2082
56090001.dcm,1,2776,2082
780619415.dcm,1,2776,2082
797464102.dcm,1,2776,2082
130367763.dcm,1,3328,2560
1424382547.dcm,1,3328,2560
1716961366.dcm,1,3328,2560
1797657520.dcm,1,3328,2560
1122776493.dcm,1,4096,3328
1803952236.dcm,1,4096,3328
347069540.dcm,1,4096,3328
773597682.dcm,1,4096,3328
1175631809.dcm,1,2776,2082
2115565725.dcm,1,2776,2082
30554088.dcm,1,2776,2082
881381894.dcm,1,2776,2082
2128921996.dcm,1,4096,3328
214017695.dcm,1,4096,3328
633991369.dcm,1,4096,3328
699715160.dcm,1,4096,3328
1551265301.dcm,1,4096,3328
1586610920.dcm,1,4096,3328
56268394.dcm,1,4096,3328
647260524.dcm,1,4096,3328
1646352463.dcm,1,4096,3328
1908533878.dcm,1,4096,3328
424132168.dcm,1,4096,3328
966712981.dcm,1,4096,3328
1355572672.dcm,1,5355,4915
1485541548.dcm,1,5355,4915
1854424773.dcm,1,5355,4915
315268478.dcm,1,5355,4915
759950512.dcm,1,5355,4915
1037740142.dcm,1,3328,2560
1276521957.dcm,1,3328,2560
568719755.dcm,1,3328,2560
583994756.dcm,1,3328,2560
100557098.dcm,1,2294,1914
191757584.dcm,1,2294,1914
497635722.dcm,1,2294,1914
600548622.dcm,1,2294,1914
89959336.dcm,1,2294,1914
1092321039.dcm,1,4096,3328
1390886438.dcm,1,4096,3328
1616844775.dcm,1,4096,3328
1934928587.dcm,1,4096,3328
906075357.dcm,1,4096,3328
1112446556.dcm,1,2294,1914
2015998330.dcm,1,2294,1914
2031965671.dcm,1,2294,1914
811524217.dcm,1,2294,1914
1191653623.dcm,1,4096,3328
1338698598.dcm,1,4096,3328
1410110630.dcm,1,4096,3328
410927059.dcm,1,4096,3328
1129330972.dcm,1,2294,1914
1939297152.dcm,1,2294,1914
2092413338.dcm,1,2294,1914
460731589.dcm,1,2294,1914
773335403.dcm,1,2294,1914
105198807.dcm,1,4096,3328
1055648343.dcm,1,4096,3328
1537834356.dcm,1,4096,3328
2040932567.dcm,1,4096,3328
410335114.dcm,1,4096,3328
1136454717.dcm,1,4096,3328
269672479.dcm,1,4096,3328
846483466.dcm,1,4096,3328
934274352.dcm,1,4096,3328
1899347591.dcm,1,4096,3328
202172694.dcm,1,4096,3328
226635741.dcm,1,4096,3328
428643313.dcm,1,4096,3328
511412275.dcm,1,4096,3328
122029770.dcm,1,4096,3328
1636548689.dcm,1,4096,3328
271915518.dcm,1,4096,3328
642026249.dcm,1,4096,3328
1430620887.dcm,1,4096,3328
244315935.dcm,1,4096,3328
32340277.dcm,1,4096,3328
329930293.dcm,1,4096,3328
540973699.dcm,1,4096,3328
690183.dcm,1,4096,3328
1364372717.dcm,1,4096,3328
1736269045.dcm,1,4096,3328
1755472423.dcm,1,4096,3328
18283890.dcm,1,4096,3328
1965875438.dcm,1,4096,3328
579269355.dcm,1,4096,3328
1074071142.dcm,1,2776,2082
1158668756.dcm,1,2776,2082
1474367410.dcm,1,2776,2082
768553797.dcm,1,2776,2082
10344577.dcm,1,3328,2560
1152574310.dcm,1,3328,2560
1376911215.dcm,1,3328,2560
1765678748.dcm,1,3328,2560
1792651296.dcm,1,3328,2560
817917685.dcm,1,3328,2560
1523044954.dcm,1,5928,4728
1981230598.dcm,1,5928,4728
430541765.dcm,1,5928,4728
628578547.dcm,1,5928,4728
168349573.dcm,1,3328,2560
2117286916.dcm,1,3328,2560
592622773.dcm,1,3328,2560
645370737.dcm,1,3328,2560
960210414.dcm,1,3328,2560
1267218609.dcm,1,5355,4915
463657213.dcm,1,5355,4915
709932584.dcm,1,5355,4915
97437092.dcm,1,5355,4915
1258341390.dcm,1,2776,2082
715444975.dcm,1,2776,2082
730115633.dcm,1,2776,2082
980863334.dcm,1,2776,2082
1146730438.dcm,1,4096,3328
1595878948.dcm,1,4096,3328
264030060.dcm,1,4096,3328
415224688.dcm,1,4096,3328
1410402096.dcm,1,3328,2560
200204124.dcm,1,3328,2560
20361962.dcm,1,3328,2560
320937539.dcm,1,3328,2560
796891575.dcm,1,3328,2560
1287125665.dcm,1,4096,3328
1780242012.dcm,1,4096,3328
1821210282.dcm,1,4096,3328
990010942.dcm,1,4096,3328
1029220548.dcm,1,4096,3328
1462763221.dcm,1,4096,3328
734190660.dcm,1,4096,3328
979073792.dcm,1,4096,3328
1395875627.dcm,1,2776,2082
1707901637.dcm,1,2776,2082
500026908.dcm,1,2776,2082
5847464.dcm,1,2776,2082
1274003489.dcm,1,2776,2082
1645335117.dcm,1,2776,2082
506789354.dcm,1,2776,2082
813841220.dcm,1,2776,2082
107387824.dcm,1,3062,2394
1562294445.dcm,1,3062,2394
2065907363.dcm,1,3062,2394
265003236.dcm,1,3062,2394
1800181181.dcm,1,2776,2082
318462651.dcm,1,2776,2082
702432837.dcm,1,2776,2082
755937784.dcm,1,2776,2082
1044358626.dcm,1,4096,3328
1143020456.dcm,1,4096,3328
1470470799.dcm,1,4096,3328
1589397165.dcm,1,4096,3328
2075351475.dcm,1,4096,3328
52510266.dcm,1,4096,3328
863598426.dcm,1,4096,3328
1210942.dcm,1,4096,3328
282562525.dcm,1,4096,3328
406488256.dcm,1,4096,3328
663924224.dcm,1,4096,3328
848307133.dcm,1,4096,3328
210290083.dcm,1,4096,3328
359381091.dcm,1,4096,3328
451676567.dcm,1,4096,3328
755155550.dcm,1,4096,3328
1121301491.dcm,1,4096,3328
1205849672.dcm,1,4096,3328
1622454506.dcm,1,4096,3328
1905942887.dcm,1,4096,3328
233967803.dcm,1,4096,3328
939620685.dcm,1,4096,3328
1058522855.dcm,1,2776,2082
1135251528.dcm,1,2776,2082
1933285880.dcm,1,2776,2082
500757323.dcm,1,2776,2082
1057358723.dcm,1,5355,4915
1684750750.dcm,1,5355,4915
1920937168.dcm,1,5355,4915
943940352.dcm,1,5355,4915
1049168020.dcm,1,2294,1914
1568630875.dcm,1,2294,1914
1857770116.dcm,1,2294,1914
399708079.dcm,1,2294,1914
1558204418.dcm,1,4096,3328
2043709714.dcm,1,4096,3328
352857742.dcm,1,4096,3328
469144900.dcm,1,4096,3328
1152537223.dcm,1,4096,3328
1202516335.dcm,1,4096,3328
309617940.dcm,1,4096,3328
41545409.dcm,1,4096,3328
1200075231.dcm,1,4096,3328
1413555772.dcm,1,4096,3328
305757738.dcm,1,4096,3328
590386476.dcm,1,4096,3328
100456375.dcm,1,4096,3328
1143939493.dcm,1,4096,3328
1158601631.dcm,1,4096,3328
302441515.dcm,1,4096,3328
1434858530.dcm,1,4096,3328
1540201051.dcm,1,4096,3328
458553546.dcm,1,4096,3328
956574704.dcm,1,4096,3328
958479048.dcm,1,4096,3328
1472025660.dcm,1,5355,4915
2099267783.dcm,1,5355,4915
220345088.dcm,1,5355,4915
464392024.dcm,1,5355,4915
1529704776.dcm,1,4740,3540
216744820.dcm,1,4740,3540
571236541.dcm,1,4740,3540
681193324.dcm,1,4740,3540
1463218401.dcm,1,4096,3328
1648906763.dcm,1,4096,3328
1825831835.dcm,1,4096,3328
620367422.dcm,1,4096,3328
905279085.dcm,1,4096,3328
1119390120.dcm,1,3062,2394
1605097365.dcm,1,3062,2394
1755756186.dcm,1,3062,2394
1833418626.dcm,1,3062,2394
1962451444.dcm,1,3062,2394
2078023734.dcm,1,3062,2394
342203223.dcm,1,3062,2394
506148695.dcm,1,3062,2394
560290012.dcm,1,3062,2394
604882069.dcm,1,3062,2394
652344784.dcm,1,3062,2394
1559303163.dcm,1,5355,4915
215007914.dcm,1,5355,4915
224398130.dcm,1,5355,4915
38118563.dcm,1,5355,4915
1019464609.dcm,1,4096,3328
1615526326.dcm,1,4096,3328
1628226958.dcm,1,4096,3328
2094031022.dcm,1,4096,3328
244638404.dcm,1,4096,3328
65932486.dcm,1,4096,3328
1159975979.dcm,1,3328,2560
1400960750.dcm,1,3328,2560
243972300.dcm,1,3328,2560
435970835.dcm,1,3328,2560
1098479350.dcm,1,3328,2560
1389453581.dcm,1,3328,2560
1433107117.dcm,1,3328,2560
2132183945.dcm,1,3328,2560
1796704277.dcm,1,3328,2560
1928261565.dcm,1,3328,2560
263874372.dcm,1,3328,2560
380791204.dcm,1,3328,2560
1788153356.dcm,1,5355,4915
187863936.dcm,1,5355,4915
1912892276.dcm,1,5355,4915
959419970.dcm,1,5355,4915
1168228782.dcm,1,4096,3328
1191992815.dcm,1,4096,3328
1489925365.dcm,1,4096,3328
1834610684.dcm,1,4096,3328
1173887795.dcm,1,5355,4915
1519548566.dcm,1,5355,4915
1539130972.dcm,1,5355,4915
1735032149.dcm,1,5355,4915
1868605498.dcm,1,5355,4915
1929933231.dcm,1,5355,4915
242757006.dcm,1,4096,3328
303135972.dcm,1,4096,3328
602064354.dcm,1,4096,3328
7384380.dcm,1,4096,3328
1232990271.dcm,1,5355,4915
1934323665.dcm,1,5355,4915
397491913.dcm,1,5355,4915
928983724.dcm,1,5355,4915
103041172.dcm,1,5355,4915
1044731216.dcm,1,5355,4915
1226238477.dcm,1,5355,4915
748357157.dcm,1,5355,4915
1293069120.dcm,1,5355,4915
1298003263.dcm,1,5355,4915
138237689.dcm,1,5355,4915
358150530.dcm,1,5355,4915
1256306591.dcm,1,3328,2560
1470208442.dcm,1,3328,2560
886311992.dcm,1,3328,2560
930382814.dcm,1,3328,2560
936451802.dcm,1,3328,2560
1338858456.dcm,1,5355,4915
457122509.dcm,1,5355,4915
474818568.dcm,1,5355,4915
742723588.dcm,1,5355,4915
1196389201.dcm,1,4096,3328
1887797144.dcm,1,4096,3328
415339637.dcm,1,4096,3328
840398035.dcm,1,4096,3328
1193161941.dcm,1,5355,4915
454570641.dcm,1,5355,4915
641112065.dcm,1,5355,4915
936270029.dcm,1,5355,4915
1235422671.dcm,1,4096,3328
1351457948.dcm,1,4096,3328
1509492099.dcm,1,4096,3328
298258103.dcm,1,4096,3328
899934324.dcm,1,4096,3328
1505027709.dcm,1,4096,3328
1782974695.dcm,1,4096,3328
376934385.dcm,1,4096,3328
657541655.dcm,1,4096,3328
880953279.dcm,1,4096,3328
1472804609.dcm,1,3062,2394
2124356768.dcm,1,3062,2394
327820676.dcm,1,3062,2394
463069660.dcm,1,3062,2394
545142706.dcm,1,3062,2394
92612954.dcm,1,3062,2394
1028645269.dcm,1,4096,3328
1255494251.dcm,1,4096,3328
1467583803.dcm,1,4096,3328
454647136.dcm,1,4096,3328
1726763733.dcm,1,4096,3328
1922586609.dcm,1,4096,3328
547002624.dcm,1,4096,3328
93022595.dcm,1,4096,3328
1114020156.dcm,1,3062,2394
1403047837.dcm,1,3062,2394
1640741023.dcm,1,3062,2394
331669375.dcm,1,3062,2394
1966160745.dcm,1,3328,2560
2105488733.dcm,1,3328,2560
480140916.dcm,1,3328,2560
496629515.dcm,1,3328,2560
807551796.dcm,1,3328,2560
1123120156.dcm,1,4096,3328
1172474710.dcm,1,4096,3328
1361622846.dcm,1,4096,3328
2115335504.dcm,1,4096,3328
1612042178.dcm,1,4096,3328
228058748.dcm,1,4096,3328
464634736.dcm,1,4096,3328
996244578.dcm,1,4096,3328
120352291.dcm,1,4096,3328
1452156918.dcm,1,4096,3328
1676779930.dcm,1,4096,3328
1781460887.dcm,1,4096,3328
1814409353.dcm,1,4096,3328
55428248.dcm,1,4096,3328
1375133154.dcm,1,3328,2560
1463232227.dcm,1,3328,2560
1769989224.dcm,1,3328,2560
838111747.dcm,1,3328,2560
1577115574.dcm,1,4096,3328
1932026673.dcm,1,4096,3328
666244801.dcm,1,4096,3328
807438629.dcm,1,4096,3328
1232817618.dcm,1,2776,2082
1668277105.dcm,1,2776,2082
351033483.dcm,1,2776,2082
973390986.dcm,1,2776,2082
108494476.dcm,1,2294,1914
1333020554.dcm,1,2294,1914
1579868860.dcm,1,2294,1914
265773887.dcm,1,2294,1914
800814120.dcm,1,2294,1914
195400299.dcm,1,4096,3328
1967460233.dcm,1,4096,3328
2059883725.dcm,1,4096,3328
363277205.dcm,1,4096,3328
605115808.dcm,1,4096,3328
1107716845.dcm,1,4096,3328
1464892650.dcm,1,4096,3328
1581190058.dcm,1,4096,3328
830801854.dcm,1,4096,3328
1258928638.dcm,1,2776,2082
1729120966.dcm,1,2776,2082
1995581162.dcm,1,2776,2082
745304387.dcm,1,2776,2082
1160585918.dcm,1,2776,2082
1495797827.dcm,1,2776,2082
2018825992.dcm,1,2776,2082
76321767.dcm,1,2776,2082
1371981702.dcm,1,5355,4915
1637438204.dcm,1,5355,4915
396576745.dcm,1,5355,4915
607078498.dcm,1,5355,4915
1862204230.dcm,1,4096,3328
1982211851.dcm,1,4096,3328
2027765245.dcm,1,4096,3328
266246169.dcm,1,4096,3328
607898581.dcm,1,4096,3328
611653415.dcm,1,4096,3328
644553356.dcm,1,4096,3328
1276100226.dcm,1,4096,3328
1483778774.dcm,1,4096,3328
167391513.dcm,1,4096,3328
272324501.dcm,1,4096,3328
506632904.dcm,1,4096,3328
1381045133.dcm,1,4096,3328
407612162.dcm,1,4096,3328
609328459.dcm,1,4096,3328
876032911.dcm,1,4096,3328
1095412840.dcm,1,5355,4915
1216532269.dcm,1,5355,4915
46469454.dcm,1,5355,4915
797737008.dcm,1,5355,4915
1019763827.dcm,1,2776,2082
1696075167.dcm,1,2776,2082
1816705499.dcm,1,2776,2082
311168378.dcm,1,2776,2082
435363551.dcm,1,2776,2082
1401448797.dcm,1,4096,3328
383708949.dcm,1,4096,3328
751571777.dcm,1,4096,3328
782494031.dcm,1,4096,3328
1248720610.dcm,1,4096,3328
1268075019.dcm,1,4096,3328
1334156926.dcm,1,4096,3328
187027334.dcm,1,4096,3328
224712929.dcm,1,4096,3328
707529389.dcm,1,4096,3328
1030343836.dcm,1,4096,3328
1649303306.dcm,1,4096,3328
2017763668.dcm,1,4096,3328
427101910.dcm,1,4096,3328
1063835519.dcm,1,4096,3328
1785576427.dcm,1,4096,3328
817378225.dcm,1,4096,3328
977905343.dcm,1,4096,3328
1222121284.dcm,1,4096,3328
1332941282.dcm,1,4096,3328
1774497291.dcm,1,4096,3328
452556492.dcm,1,4096,3328
1117020355.dcm,1,2776,2082
1212417848.dcm,1,2776,2082
1834201085.dcm,1,2776,2082
929031467.dcm,1,2776,2082
1199045232.dcm,1,5355,4915
1361228331.dcm,1,5355,4915
1824100608.dcm,1,5355,4915
841312936.dcm,1,5355,4915
1385180924.dcm,1,5355,4915
1644216215.dcm,1,5355,4915
1657660442.dcm,1,5355,4915
883642391.dcm,1,5355,4915
1220834231.dcm,1,2776,2082
1584654531.dcm,1,2776,2082
1617947600.dcm,1,2776,2082
546169626.dcm,1,2776,2082
1537444849.dcm,1,4096,3328
1857690035.dcm,1,4096,3328
1901825187.dcm,1,4096,3328
767754460.dcm,1,4096,3328
1127780148.dcm,1,4096,3328
1354361380.dcm,1,4096,3328
157048103.dcm,1,4096,3328
2049957533.dcm,1,4096,3328
1311352975.dcm,1,2776,2082
1313414003.dcm,1,2776,2082
426661175.dcm,1,2776,2082
725941064.dcm,1,2776,2082
1487700051.dcm,1,3328,2560
1882436239.dcm,1,3328,2560
227760017.dcm,1,3328,2560
284708602.dcm,1,3328,2560
1167990339.dcm,1,2776,2082
34700621.dcm,1,2776,2082
763186195.dcm,1,2776,2082
937109986.dcm,1,2776,2082
1593436472.dcm,1,4096,3328
1780729993.dcm,1,4096,3328
369964616.dcm,1,4096,3328
40207666.dcm,1,4096,3328
43344806.dcm,1,4096,3328
774827564.dcm,1,4096,3328
993520374.dcm,1,4096,3328
1033471682.dcm,1,2776,2082
1654450589.dcm,1,2776,2082
2027498278.dcm,1,2776,2082
796003416.dcm,1,2776,2082
881144932.dcm,1,2776,2082
1862960721.dcm,1,2776,2082
2088301322.dcm,1,2776,2082
274585100.dcm,1,2776,2082
855508729.dcm,1,2776,2082
1176657590.dcm,1,4096,3328
1308949510.dcm,1,4096,3328
1858761621.dcm,1,4096,3328
2068922317.dcm,1,4096,3328
643651118.dcm,1,4096,3328
761142587.dcm,1,4096,3328
1969874361.dcm,1,5355,4915
2063672636.dcm,1,5355,4915
2105893877.dcm,1,5355,4915
722885662.dcm,1,5355,4915
1552124440.dcm,1,4740,3540
1616696471.dcm,1,4740,3540
1826546638.dcm,1,4740,3540
201713981.dcm,1,4740,3540
2023041278.dcm,1,4740,3540
946297700.dcm,1,4740,3540
993032636.dcm,1,4740,3540
13974463.dcm,1,4096,3328
1471096904.dcm,1,4096,3328
1540725283.dcm,1,4096,3328
15931898.dcm,1,4096,3328
1620613415.dcm,1,4096,3328
1946759104.dcm,1,4096,3328
22405939.dcm,1,4096,3328
972255440.dcm,1,4096,3328
1897089136.dcm,1,4740,3540
374609869.dcm,1,4740,3540
411534040.dcm,1,4740,3540
9847153.dcm,1,4740,3540
1117417333.dcm,1,2776,2082
2022051250.dcm,1,2776,2082
251904513.dcm,1,2776,2082
278911042.dcm,1,2776,2082
1716461980.dcm,1,4096,3328
1924104560.dcm,1,4096,3328
1988757394.dcm,1,4096,3328
41313074.dcm,1,4096,3328
1451060171.dcm,1,5355,4915
1945652747.dcm,1,5355,4915
297219081.dcm,1,5355,4915
727499168.dcm,1,5355,4915
1257659581.dcm,1,4096,3328
278573216.dcm,1,4096,3328
60165637.dcm,1,4096,3328
614303025.dcm,1,4096,3328
660532801.dcm,1,4096,3328
1758830399.dcm,1,4096,3328
576122488.dcm,1,4096,3328
764867340.dcm,1,4096,3328
769478131.dcm,1,4096,3328
1196773108.dcm,1,3328,2560
1461360566.dcm,1,3328,2560
1476307469.dcm,1,3328,2560
273930147.dcm,1,3328,2560
649538430.dcm,1,3328,2560
70309737.dcm,1,3328,2560
1151690977.dcm,1,3328,2560
1301880329.dcm,1,3328,2560
1940080193.dcm,1,3328,2560
2076281608.dcm,1,3328,2560
578902944.dcm,1,3328,2560
779903676.dcm,1,3328,2560
1580815494.dcm,1,3328,2560
1633223532.dcm,1,3328,2560
228446640.dcm,1,3328,2560
944535534.dcm,1,3328,2560
125143286.dcm,1,2776,2082
1392913333.dcm,1,2776,2082
1965665237.dcm,1,2776,2082
2066314945.dcm,1,2776,2082
1652851391.dcm,1,3328,2560
1663306587.dcm,1,3328,2560
1751635687.dcm,1,3328,2560
739841432.dcm,1,3328,2560
1770807658.dcm,1,4096,3328
1838021144.dcm,1,4096,3328
711533480.dcm,1,4096,3328
836443904.dcm,1,4096,3328
1176377450.dcm,1,5355,4915
1620619772.dcm,1,5355,4915
1784898396.dcm,1,5355,4915
1931510392.dcm,1,5355,4915
1478415469.dcm,1,2776,2082
1895492913.dcm,1,2776,2082
280621352.dcm,1,2776,2082
428532526.dcm,1,2776,2082
1332084908.dcm,1,2776,2082
1786690311.dcm,1,2776,2082
1933848539.dcm,1,2776,2082
591123709.dcm,1,2776,2082
1562174769.dcm,1,5355,4915
1868148345.dcm,1,5355,4915
2105332458.dcm,1,5355,4915
97450802.dcm,1,5355,4915
1094887797.dcm,1,4096,3328
1209491097.dcm,1,4096,3328
1223335281.dcm,1,4096,3328
1589228359.dcm,1,4096,3328
1595059743.dcm,1,4096,3328
1601893608.dcm,1,4096,3328
1819459933.dcm,1,4096,3328
203837440.dcm,1,4096,3328
871227326.dcm,1,4096,3328
952224229.dcm,1,4096,3328
1120382217.dcm,1,3328,2560
1285202241.dcm,1,3328,2560
1441952045.dcm,1,3328,2560
1547415696.dcm,1,3328,2560
1797968584.dcm,1,3328,2560
504613176.dcm,1,3328,2560
808241086.dcm,1,3328,2560
1302910227.dcm,1,4096,3328
2141020018.dcm,1,4096,3328
538972378.dcm,1,4096,3328
632818275.dcm,1,4096,3328
1292006848.dcm,1,4096,3328
2005727807.dcm,1,4096,3328
679382815.dcm,1,4096,3328
778026622.dcm,1,4096,3328
896301910.dcm,1,4096,3328
1098611287.dcm,1,5355,4915
1576201450.dcm,1,5355,4915
1592008469.dcm,1,5355,4915
246097678.dcm,1,5355,4915
105770343.dcm,1,4096,3328
179219496.dcm,1,4096,3328
1969917647.dcm,1,4096,3328
924340828.dcm,1,4096,3328
1770354316.dcm,1,3328,2560
1810329042.dcm,1,3328,2560
400855687.dcm,1,3328,2560
863481972.dcm,1,3328,2560
1215083449.dcm,1,3328,2560
149787458.dcm,1,3328,2560
1676397365.dcm,1,3328,2560
1873336201.dcm,1,3328,2560
1420229228.dcm,1,5355,4915
1888733777.dcm,1,5355,4915
2086678166.dcm,1,5355,4915
225973.dcm,1,5355,4915
1741497151.dcm,1,4096,3328
1857880628.dcm,1,4096,3328
1898855448.dcm,1,4096,3328
382831252.dcm,1,4096,3328
1163498976.dcm,1,4096,3328
142446492.dcm,1,4096,3328
208462140.dcm,1,4096,3328
682233910.dcm,1,4096,3328
182789977.dcm,1,3328,2560
1993026097.dcm,1,3328,2560
2131171066.dcm,1,3328,2560
455341968.dcm,1,3328,2560
70216419.dcm,1,3328,2560
1176332065.dcm,1,4096,3328
1458622569.dcm,1,4096,3328
