file_name,transfer_syntax_uid
1626006836.dcm,1.2.840.10008.1.2.4.90
1638919168.dcm,1.2.840.10008.1.2.4.90
912156277.dcm,1.2.840.10008.1.2.4.90
1173679750.dcm,1.2.840.10008.1.2.4.70
229558076.dcm,1.2.840.10008.1.2.4.70
629904228.dcm,1.2.840.10008.1.2.4.70
669597068.dcm,1.2.840.10008.1.2.4.70
1260861056.dcm,1.2.840.10008.1.2.4.90
1516077730.dcm,1.2.840.10008.1.2.4.90
1830062849.dcm,1.2.840.10008.1.2.4.90
816393025.dcm,1.2.840.10008.1.2.4.90
114671324.dcm,1.2.840.10008.1.2.4.90
1622207304.dcm,1.2.840.10008.1.2.4.90
33561657.dcm,1.2.840.10008.1.2.4.90
864576083.dcm,1.2.840.10008.1.2.4.90
1779471194.dcm,1.2.840.10008.1.2.4.70
1827497738.dcm,1.2.840.10008.1.2.4.70
2056985886.dcm,1.2.840.10008.1.2.4.70
2062101003.dcm,1.2.840.10008.1.2.4.70
1280087654.dcm,1.2.840.10008.1.2.4.90
1774592645.dcm,1.2.840.10008.1.2.4.90
2113019561.dcm,1.2.840.10008.1.2.4.90
853416701.dcm,1.2.840.10008.1.2.4.90
107381562.dcm,1.2.840.10008.1.2.4.90
139226895.dcm,1.2.840.10008.1.2.4.90
481841246.dcm,1.2.840.10008.1.2.4.90
871078482.dcm,1.2.840.10008.1.2.4.90
1352374842.dcm,1.2.840.10008.1.2.4.70
194880525.dcm,1.2.840.10008.1.2.4.70
611694376.dcm,1.2.840.10008.1.2.4.70
782975270.dcm,1.2.840.10008.1.2.4.70
2015481666.dcm,1.2.840.10008.1.2.4.90
610638958.dcm,1.2.840.10008.1.2.4.90
760010915.dcm,1.2.840.10008.1.2.4.90
873499971.dcm,1.2.840.10008.1.2.4.90
1053754853.dcm,1.2.840.10008.1.2.4.90
1064702099.dcm,1.2.840.10008.1.2.4.90
688385543.dcm,1.2.840.10008.1.2.4.90
868301138.dcm,1.2.840.10008.1.2.4.90
1087195608.dcm,1.2.840.10008.1.2.4.70
168739237.dcm,1.2.840.10008.1.2.4.70
579841204.dcm,1.2.840.10008.1.2.4.70
653493113.dcm,1.2.840.10008.1.2.4.70
1385708909.dcm,1.2.840.10008.1.2.4.70
1562056186.dcm,1.2.840.10008.1.2.4.70
1692821032.dcm,1.2.840.10008.1.2.4.70
2030427504.dcm,1.2.840.10008.1.2.4.70
2099794251.dcm,1.2.840.10008.1.2.4.70
568324157.dcm,1.2.840.10008.1.2.4.70
109667135.dcm,1.2.840.10008.1.2.4.70
1393196107.dcm,1.2.840.10008.1.2.4.70
1481469520.dcm,1.2.840.10008.1.2.4.70
441197449.dcm,1.2.840.10008.1.2.4.70
593476281.dcm,1.2.840.10008.1.2.4.70
670741863.dcm,1.2.840.10008.1.2.4.70
1197226360.dcm,1.2.840.10008.1.2.4.90
1273945534.dcm,1.2.840.10008.1.2.4.90
246097133.dcm,1.2.840.10008.1.2.4.90
330164653.dcm,1.2.840.10008.1.2.4.90
134267365.dcm,1.2.840.10008.1.2.4.70
1422756511.dcm,1.2.840.10008.1.2.4.70
161478494.dcm,1.2.840.10008.1.2.4.70
1620368761.dcm,1.2.840.10008.1.2.4.70
534538517.dcm,1.2.840.10008.1.2.4.70
570041037.dcm,1.2.840.10008.1.2.4.70
600223902.dcm,1.2.840.10008.1.2.4.70
846834855.dcm,1.2.840.10008.1.2.4.70
1248063999.dcm,1.2.840.10008.1.2.4.70
1922025927.dcm,1.2.840.10008.1.2.4.70
638273415.dcm,1.2.840.10008.1.2.4.70
74874399.dcm,1.2.840.10008.1.2.4.70
1345293036.dcm,1.2.840.10008.1.2.4.70
1856209291.dcm,1.2.840.10008.1.2.4.70
2114415931.dcm,1.2.840.10008.1.2.4.70
328866680.dcm,1.2.840.10008.1.2.4.70
1241697021.dcm,1.2.840.10008.1.2.4.70
1564477624.dcm,1.2.840.10008.1.2.4.70
1811094004.dcm,1.2.840.10008.1.2.4.70
1955750733.dcm,1.2.840.10008.1.2.4.70
1331256002.dcm,1.2.840.10008.1.2.4.90
657488461.dcm,1.2.840.10008.1.2.4.90
968602692.dcm,1.2.840.10008.1.2.4.90
997207804.dcm,1.2.840.10008.1.2.4.90
1260916210.dcm,1.2.840.10008.1.2.4.90
2089528200.dcm,1.2.840.10008.1.2.4.90
232125477.dcm,1.2.840.10008.1.2.4.90
606379838.dcm,1.2.840.10008.1.2.4.90
1530859311.dcm,1.2.840.10008.1.2.4.90
1800447452.dcm,1.2.840.10008.1.2.4.90
1816646966.dcm,1.2.840.10008.1.2.4.90
385596666.dcm,1.2.840.10008.1.2.4.90
1943220805.dcm,1.2.840.10008.1.2.4.70
309353373.dcm,1.2.840.10008.1.2.4.70
348710745.dcm,1.2.840.10008.1.2.4.70
461614796.dcm,1.2.840.10008.1.2.4.70
530620473.dcm,1.2.840.10008.1.2.4.70
806376890.dcm,1.2.840.10008.1.2.4.70
1119917037.dcm,1.2.840.10008.1.2.4.90
1570900031.dcm,1.2.840.10008.1.2.4.90
678220517.dcm,1.2.840.10008.1.2.4.90
81785330.dcm,1.2.840.10008.1.2.4.90
173054723.dcm,1.2.840.10008.1.2.4.70
287294454.dcm,1.2.840.10008.1.2.4.70
376486299.dcm,1.2.840.10008.1.2.4.70
738945317.dcm,1.2.840.10008.1.2.4.70
76952917.dcm,1.2.840.10008.1.2.4.70
853328202.dcm,1.2.840.10008.1.2.4.70
182563372.dcm,1.2.840.10008.1.2.4.90
367024983.dcm,1.2.840.10008.1.2.4.90
56090001.dcm,1.2.840.10008.1.2.4.90
780619415.dcm,1.2.840.10008.1.2.4.90
797464102.dcm,1.2.840.10008.1.2.4.90
130367763.dcm,1.2.840.10008.1.2.4.70
1424382547.dcm,1.2.840.10008.1.2.4.70
1716961366.dcm,1.2.840.10008.1.2.4.70
1797657520.dcm,1.2.840.10008.1.2.4.70
1122776493.dcm,1.2.840.10008.1.2.4.70
1803952236.dcm,1.2.840.10008.1.2.4.70
347069540.dcm,1.2.840.10008.1.2.4.70
773597682.dcm,1.2.840.10008.1.2.4.70
1175631809.dcm,1.2.840.10008.1.2.4.90
2115565725.dcm,1.2.840.10008.1.2.4.90
30554088.dcm,1.2.840.10008.1.2.4.90
881381894.dcm,1.2.840.10008.1.2.4.90
2128921996.dcm,1.2.840.10008.1.2.4.70
214017695.dcm,1.2.840.10008.1.2.4.70
633991369.dcm,1.2.840.10008.1.2.4.70
699715160.dcm,1.2.840.10008.1.2.4.70
1551265301.dcm,1.2.840.10008.1.2.4.90
1586610920.dcm,1.2.840.10008.1.2.4.90
56268394.dcm,1.2.840.10008.1.2.4.90
647260524.dcm,1.2.840.10008.1.2.4.90
1646352463.dcm,1.2.840.10008.1.2.4.90
1908533878.dcm,1.2.840.10008.1.2.4.90
424132168.dcm,1.2.840.10008.1.2.4.90
966712981.dcm,1.2.840.10008.1.2.4.90
1355572672.dcm,1.2.840.10008.1.2.4.90
1485541548.dcm,1.2.840.10008.1.2.4.90
1854424773.dcm,1.2.840.10008.1.2.4.90
315268478.dcm,1.2.840.10008.1.2.4.90
759950512.dcm,1.2.840.10008.1.2.4.90
1037740142.dcm,1.2.840.10008.1.2.4.70
1276521957.dcm,1.2.840.10008.1.2.4.70
568719755.dcm,1.2.840.10008.1.2.4.70
583994756.dcm,1.2.840.10008.1.2.4.70
100557098.dcm,1.2.840.10008.1.2.4.70
191757584.dcm,1.2.840.10008.1.2.4.70
497635722.dcm,1.2.840.10008.1.2.4.70
600548622.dcm,1.2.840.10008.1.2.4.70
89959336.dcm,1.2.840.10008.1.2.4.70
1092321039.dcm,1.2.840.10008.1.2.4.70
1390886438.dcm,1.2.840.10008.1.2.4.70
1616844775.dcm,1.2.840.10008.1.2.4.70
1934928587.dcm,1.2.840.10008.1.2.4.70
906075357.dcm,1.2.840.10008.1.2.4.70
1112446556.dcm,1.2.840.10008.1.2.4.70
2015998330.dcm,1.2.840.10008.1.2.4.70
2031965671.dcm,1.2.840.10008.1.2.4.70
811524217.dcm,1.2.840.10008.1.2.4.70
1191653623.dcm,1.2.840.10008.1.2.4.90
1338698598.dcm,1.2.840.10008.1.2.4.90
1410110630.dcm,1.2.840.10008.1.2.4.90
410927059.dcm,1.2.840.10008.1.2.4.90
1129330972.dcm,1.2.840.10008.1.2.4.70
1939297152.dcm,1.2.840.10008.1.2.4.70
2092413338.dcm,1.2.840.10008.1.2.4.70
460731589.dcm,1.2.840.10008.1.2.4.70
773335403.dcm,1.2.840.10008.1.2.4.70
105198807.dcm,1.2.840.10008.1.2.4.90
1055648343.dcm,1.2.840.10008.1.2.4.90
1537834356.dcm,1.2.840.10008.1.2.4.90
2040932567.dcm,1.2.840.10008.1.2.4.90
410335114.dcm,1.2.840.10008.1.2.4.90
1136454717.dcm,1.2.840.10008.1.2.4.70
269672479.dcm,1.2.840.10008.1.2.4.70
846483466.dcm,1.2.840.10008.1.2.4.70
934274352.dcm,1.2.840.10008.1.2.4.70
1899347591.dcm,1.2.840.10008.1.2.4.70
202172694.dcm,1.2.840.10008.1.2.4.70
226635741.dcm,1.2.840.10008.1.2.4.70
428643313.dcm,1.2.840.10008.1.2.4.70
511412275.dcm,1.2.840.10008.1.2.4.70
122029770.dcm,1.2.840.10008.1.2.4.90
1636548689.dcm,1.2.840.10008.1.2.4.90
271915518.dcm,1.2.840.10008.1.2.4.90
642026249.dcm,1.2.840.10008.1.2.4.90
1430620887.dcm,1.2.840.10008.1.2.4.90
244315935.dcm,1.2.840.10008.1.2.4.90
32340277.dcm,1.2.840.10008.1.2.4.90
329930293.dcm,1.2.840.10008.1.2.4.90
540973699.dcm,1.2.840.10008.1.2.4.90
690183.dcm,1.2.840.10008.1.2.4.90
1364372717.dcm,1.2.840.10008.1.2.4.70
1736269045.dcm,1.2.840.10008.1.2.4.70
1755472423.dcm,1.2.840.10008.1.2.4.70
18283890.dcm,1.2.840.10008.1.2.4.70
1965875438.dcm,1.2.840.10008.1.2.4.70
579269355.dcm,1.2.840.10008.1.2.4.70
1074071142.dcm,1.2.840.10008.1.2.4.90
1158668756.dcm,1.2.840.10008.1.2.4.90
1474367410.dcm,1.2.840.10008.1.2.4.90
768553797.dcm,1.2.840.10008.1.2.4.90
10344577.dcm,1.2.840.10008.1.2.4.70
1152574310.dcm,1.2.840.10008.1.2.4.70
1376911215.dcm,1.2.840.10008.1.2.4.70
1765678748.dcm,1.2.840.10008.1.2.4.70
1792651296.dcm,1.2.840.10008.1.2.4.70
817917685.dcm,1.2.840.10008.1.2.4.70
1523044954.dcm,1.2.840.10008.1.2.4.70
1981230598.dcm,1.2.840.10008.1.2.4.70
430541765.dcm,1.2.840.10008.1.2.4.70
628578547.dcm,1.2.840.10008.1.2.4.70
168349573.dcm,1.2.840.10008.1.2.4.70
2117286916.dcm,1.2.840.10008.1.2.4.70
592622773.dcm,1.2.840.10008.1.2.4.70
645370737.dcm,1.2.840.10008.1.2.4.70
960210414.dcm,1.2.840.10008.1.2.4.70
1267218609.dcm,1.2.840.10008.1.2.4.90
463657213.dcm,1.2.840.10008.1.2.4.90
709932584.dcm,1.2.840.10008.1.2.4.90
97437092.dcm,1.2.840.10008.1.2.4.90
1258341390.dcm,1.2.840.10008.1.2.4.90
715444975.dcm,1.2.840.10008.1.2.4.90
730115633.dcm,1.2.840.10008.1.2.4.90
980863334.dcm,1.2.840.10008.1.2.4.90
1146730438.dcm,1.2.840.10008.1.2.4.90
1595878948.dcm,1.2.840.10008.1.2.4.90
264030060.dcm,1.2.840.10008.1.2.4.90
415224688.dcm,1.2.840.10008.1.2.4.90
1410402096.dcm,1.2.840.10008.1.2.4.70
200204124.dcm,1.2.840.10008.1.2.4.70
20361962.dcm,1.2.840.10008.1.2.4.70
320937539.dcm,1.2.840.10008.1.2.4.70
796891575.dcm,1.2.840.10008.1.2.4.70
1287125665.dcm,1.2.840.10008.1.2.4.90
1780242012.dcm,1.2.840.10008.1.2.4.90
1821210282.dcm,1.2.840.10008.1.2.4.90
990010942.dcm,1.2.840.10008.1.2.4.90
1029220548.dcm,1.2.840.10008.1.2.4.90
1462763221.dcm,1.2.840.10008.1.2.4.90
734190660.dcm,1.2.840.10008.1.2.4.90
979073792.dcm,1.2.840.10008.1.2.4.90
1395875627.dcm,1.2.840.10008.1.2.4.90
1707901637.dcm,1.2.840.10008.1.2.4.90
500026908.dcm,1.2.840.10008.1.2.4.90
5847464.dcm,1.2.840.10008.1.2.4.90
1274003489.dcm,1.2.840.10008.1.2.4.90
1645335117.dcm,1.2.840.10008.1.2.4.90
506789354.dcm,1.2.840.10008.1.2.4.90
813841220.dcm,1.2.840.10008.1.2.4.90
107387824.dcm,1.2.840.10008.1.2.4.70
1562294445.dcm,1.2.840.10008.1.2.4.70
2065907363.dcm,1.2.840.10008.1.2.4.70
265003236.dcm,1.2.840.10008.1.2.4.70
1800181181.dcm,1.2.840.10008.1.2.4.90
318462651.dcm,1.2.840.10008.1.2.4.90
702432837.dcm,1.2.840.10008.1.2.4.90
755937784.dcm,1.2.840.10008.1.2.4.90
1044358626.dcm,1.2.840.10008.1.2.4.70
1143020456.dcm,1.2.840.10008.1.2.4.70
1470470799.dcm,1.2.840.10008.1.2.4.70
1589397165.dcm,1.2.840.10008.1.2.4.70
2075351475.dcm,1.2.840.10008.1.2.4.70
52510266.dcm,1.2.840.10008.1.2.4.70
863598426.dcm,1.2.840.10008.1.2.4.70
1210942.dcm,1.2.840.10008.1.2.4.70
282562525.dcm,1.2.840.10008.1.2.4.70
406488256.dcm,1.2.840.10008.1.2.4.70
663924224.dcm,1.2.840.10008.1.2.4.70
848307133.dcm,1.2.840.10008.1.2.4.70
210290083.dcm,1.2.840.10008.1.2.4.90
359381091.dcm,1.2.840.10008.1.2.4.90
451676567.dcm,1.2.840.10008.1.2.4.90
755155550.dcm,1.2.840.10008.1.2.4.90
1121301491.dcm,1.2.840.10008.1.2.4.70
1205849672.dcm,1.2.840.10008.1.2.4.70
1622454506.dcm,1.2.840.10008.1.2.4.70
1905942887.dcm,1.2.840.10008.1.2.4.70
233967803.dcm,1.2.840.10008.1.2.4.70
939620685.dcm,1.2.840.10008.1.2.4.70
1058522855.dcm,1.2.840.10008.1.2.4.90
1135251528.dcm,1.2.840.10008.1.2.4.90
1933285880.dcm,1.2.840.10008.1.2.4.90
500757323.dcm,1.2.840.10008.1.2.4.90
1057358723.dcm,1.2.840.10008.1.2.4.90
1684750750.dcm,1.2.840.10008.1.2.4.90
1920937168.dcm,1.2.840.10008.1.2.4.90
943940352.dcm,1.2.840.10008.1.2.4.90
1049168020.dcm,1.2.840.10008.1.2.4.70
1568630875.dcm,1.2.840.10008.1.2.4.70
1857770116.dcm,1.2.840.10008.1.2.4.70
399708079.dcm,1.2.840.10008.1.2.4.70
1558204418.dcm,1.2.840.10008.1.2.4.70
2043709714.dcm,1.2.840.10008.1.2.4.70
352857742.dcm,1.2.840.10008.1.2.4.70
469144900.dcm,1.2.840.10008.1.2.4.70
1152537223.dcm,1.2.840.10008.1.2.4.70
1202516335.dcm,1.2.840.10008.1.2.4.70
309617940.dcm,1.2.840.10008.1.2.4.70
41545409.dcm,1.2.840.10008.1.2.4.70
1200075231.dcm,1.2.840.10008.1.2.4.90
1413555772.dcm,1.2.840.10008.1.2.4.90
305757738.dcm,1.2.840.10008.1.2.4.90
590386476.dcm,1.2.840.10008.1.2.4.90
100456375.dcm,1.2.840.10008.1.2.4.90
1143939493.dcm,1.2.840.10008.1.2.4.90
1158601631.dcm,1.2.840.10008.1.2.4.90
302441515.dcm,1.2.840.10008.1.2.4.90
1434858530.dcm,1.2.840.10008.1.2.4.90
1540201051.dcm,1.2.840.10008.1.2.4.90
458553546.dcm,1.2.840.10008.1.2.4.90
956574704.dcm,1.2.840.10008.1.2.4.90
958479048.dcm,1.2.840.10008.1.2.4.90
1472025660.dcm,1.2.840.10008.1.2.4.90
2099267783.dcm,1.2.840.10008.1.2.4.90
220345088.dcm,1.2.840.10008.1.2.4.90
464392024.dcm,1.2.840.10008.1.2.4.90
1529704776.dcm,1.2.840.10008.1.2.4.70
216744820.dcm,1.2.840.10008.1.2.4.70
571236541.dcm,1.2.840.10008.1.2.4.70
681193324.dcm,1.2.840.10008.1.2.4.70
1463218401.dcm,1.2.840.10008.1.2.4.70
1648906763.dcm,1.2.840.10008.1.2.4.70
1825831835.dcm,1.2.840.10008.1.2.4.70
620367422.dcm,1.2.840.10008.1.2.4.70
905279085.dcm,1.2.840.10008.1.2.4.70
1119390120.dcm,1.2.840.10008.1.2.4.70
1605097365.dcm,1.2.840.10008.1.2.4.70
1755756186.dcm,1.2.840.10008.1.2.4.70
1833418626.dcm,1.2.840.10008.1.2.4.70
1962451444.dcm,1.2.840.10008.1.2.4.70
2078023734.dcm,1.2.840.10008.1.2.4.70
342203223.dcm,1.2.840.10008.1.2.4.70
506148695.dcm,1.2.840.10008.1.2.4.70
560290012.dcm,1.2.840.10008.1.2.4.70
604882069.dcm,1.2.840.10008.1.2.4.70
652344784.dcm,1.2.840.10008.1.2.4.70
1559303163.dcm,1.2.840.10008.1.2.4.90
215007914.dcm,1.2.840.10008.1.2.4.90
224398130.dcm,1.2.840.10008.1.2.4.90
38118563.dcm,1.2.840.10008.1.2.4.90
1019464609.dcm,1.2.840.10008.1.2.4.70
1615526326.dcm,1.2.840.10008.1.2.4.70
1628226958.dcm,1.2.840.10008.1.2.4.70
2094031022.dcm,1.2.840.10008.1.2.4.70
244638404.dcm,1.2.840.10008.1.2.4.70
65932486.dcm,1.2.840.10008.1.2.4.70
1159975979.dcm,1.2.840.10008.1.2.4.70
1400960750.dcm,1.2.840.10008.1.2.4.70
243972300.dcm,1.2.840.10008.1.2.4.70
435970835.dcm,1.2.840.10008.1.2.4.70
1098479350.dcm,1.2.840.10008.1.2.4.70
1389453581.dcm,1.2.840.10008.1.2.4.70
1433107117.dcm,1.2.840.10008.1.2.4.70
2132183945.dcm,1.2.840.10008.1.2.4.70
1796704277.dcm,1.2.840.10008.1.2.4.70
1928261565.dcm,1.2.840.10008.1.2.4.70
263874372.dcm,1.2.840.10008.1.2.4.70
380791204.dcm,1.2.840.10008.1.2.4.70
1788153356.dcm,1.2.840.10008.1.2.4.90
187863936.dcm,1.2.840.10008.1.2.4.90
1912892276.dcm,1.2.840.10008.1.2.4.90
959419970.dcm,1.2.840.10008.1.2.4.90
1168228782.dcm,1.2.840.10008.1.2.4.90
1191992815.dcm,1.2.840.10008.1.2.4.90
1489925365.dcm,1.2.840.10008.1.2.4.90
1834610684.dcm,1.2.840.10008.1.2.4.90
1173887795.dcm,1.2.840.10008.1.2.4.90
1519548566.dcm,1.2.840.10008.1.2.4.90
1539130972.dcm,1.2.840.10008.1.2.4.90
1735032149.dcm,1.2.840.10008.1.2.4.90
1868605498.dcm,1.2.840.10008.1.2.4.90
1929933231.dcm,1.2.840.10008.1.2.4.90
242757006.dcm,1.2.840.10008.1.2.4.90
303135972.dcm,1.2.840.10008.1.2.4.90
602064354.dcm,1.2.840.10008.1.2.4.90
7384380.dcm,1.2.840.10008.1.2.4.90
1232990271.dcm,1.2.840.10008.1.2.4.90
1934323665.dcm,1.2.840.10008.1.2.4.90
397491913.dcm,1.2.840.10008.1.2.4.90
928983724.dcm,1.2.840.10008.1.2.4.90
103041172.dcm,1.2.840.10008.1.2.4.90
1044731216.dcm,1.2.840.10008.1.2.4.90
1226238477.dcm,1.2.840.10008.1.2.4.90
748357157.dcm,1.2.840.10008.1.2.4.90
1293069120.dcm,1.2.840.10008.1.2.4.90
1298003263.dcm,1.2.840.10008.1.2.4.90
138237689.dcm,1.2.840.10008.1.2.4.90
358150530.dcm,1.2.840.10008.1.2.4.90
1256306591.dcm,1.2.840.10008.1.2.4.70
1470208442.dcm,1.2.840.10008.1.2.4.70
886311992.dcm,1.2.840.10008.1.2.4.70
930382814.dcm,1.2.840.10008.1.2.4.70
936451802.dcm,1.2.840.10008.1.2.4.70
1338858456.dcm,1.2.840.10008.1.2.4.90
457122509.dcm,1.2.840.10008.1.2.4.90
474818568.dcm,1.2.840.10008.1.2.4.90
742723588.dcm,1.2.840.10008.1.2.4.90
1196389201.dcm,1.2.840.10008.1.2.4.90
1887797144.dcm,1.2.840.10008.1.2.4.90
415339637.dcm,1.2.840.10008.1.2.4.90
840398035.dcm,1.2.840.10008.1.2.4.90
1193161941.dcm,1.2.840.10008.1.2.4.90
454570641.dcm,1.2.840.10008.1.2.4.90
641112065.dcm,1.2.840.10008.1.2.4.90
936270029.dcm,1.2.840.10008.1.2.4.90
1235422671.dcm,1.2.840.10008.1.2.4.70
1351457948.dcm,1.2.840.10008.1.2.4.70
1509492099.dcm,1.2.840.10008.1.2.4.70
298258103.dcm,1.2.840.10008.1.2.4.70
899934324.dcm,1.2.840.10008.1.2.4.70
1505027709.dcm,1.2.840.10008.1.2.4.70
1782974695.dcm,1.2.840.10008.1.2.4.70
376934385.dcm,1.2.840.10008.1.2.4.70
657541655.dcm,1.2.840.10008.1.2.4.70
880953279.dcm,1.2.840.10008.1.2.4.70
1472804609.dcm,1.2.840.10008.1.2.4.70
2124356768.dcm,1.2.840.10008.1.2.4.70
327820676.dcm,1.2.840.10008.1.2.4.70
463069660.dcm,1.2.840.10008.1.2.4.70
545142706.dcm,1.2.840.10008.1.2.4.70
92612954.dcm,1.2.840.10008.1.2.4.70
1028645269.dcm,1.2.840.10008.1.2.4.70
1255494251.dcm,1.2.840.10008.1.2.4.70
1467583803.dcm,1.2.840.10008.1.2.4.70
454647136.dcm,1.2.840.10008.1.2.4.70
1726763733.dcm,1.2.840.10008.1.2.4.90
1922586609.dcm,1.2.840.10008.1.2.4.90
547002624.dcm,1.2.840.10008.1.2.4.90
93022595.dcm,1.2.840.10008.1.2.4.90
1114020156.dcm,1.2.840.10008.1.2.4.70
1403047837.dcm,1.2.840.10008.1.2.4.70
1640741023.dcm,1.2.840.10008.1.2.4.70
331669375.dcm,1.2.840.10008.1.2.4.70
1966160745.dcm,1.2.840.10008.1.2.4.70
2105488733.dcm,1.2.840.10008.1.2.4.70
480140916.dcm,1.2.840.10008.1.2.4.70
496629515.dcm,1.2.840.10008.1.2.4.70
807551796.dcm,1.2.840.10008.1.2.4.70
1123120156.dcm,1.2.840.10008.1.2.4.90
1172474710.dcm,1.2.840.10008.1.2.4.90
1361622846.dcm,1.2.840.10008.1.2.4.90
2115335504.dcm,1.2.840.10008.1.2.4.90
1612042178.dcm,1.2.840.10008.1.2.4.90
228058748.dcm,1.2.840.10008.1.2.4.90
464634736.dcm,1.2.840.10008.1.2.4.90
996244578.dcm,1.2.840.10008.1.2.4.90
120352291.dcm,1.2.840.10008.1.2.4.70
1452156918.dcm,1.2.840.10008.1.2.4.70
